"Num";"CNTY";"DIFF";"STATUS";"HECTARE";"ToF";"OWNLAND";"AGE";"HARVEST";"r1";"r2";"r3";"r4";"r5";"r6";"r7";"r8";"r11";"r12";"r14";"r17";"r18";"r19";"r21";"r22";"r24";"r28";"r30";"r32";"r36";"r37"
260;27;1;0;91;3;0;52;90;0,41;0,65;0,21;0,08;0,32;0,52;0,41;0,11;0,41;0,69;0,21;0,05;0,03;0,1;0,07;0,25;0,32;0,41;0,31;0,38;0,75;0,79
261;27;1;1;101;1;1;45;90;0,22;0,9;0,57;0,12;0,09;0,3;0,13;0,17;0,73;1,22;0,19;0,05;0,02;0,04;0,04;0,1;0,3;0,41;0,37;0,39;0,48;0,73
262;27;1;1;65;3;1;37;90;0,4;0,64;0,17;0,07;0,33;0,71;0,59;0,12;0,39;0,58;0,24;0,08;0,06;0,12;0,17;0,36;0,19;0,33;0,21;0,28;1,24;0,57
263;27;1;1;101;1;1;42;90;0,24;0,88;0,57;0,14;0,1;0,38;0,16;0,22;0,89;1,38;0,17;0,02;0,01;0,08;0,03;0,32;0,16;0,26;0,18;0,25;0,35;0,63
264;27;1;0;61;3;1;31;90;0,3;0,79;0,38;0,11;0,19;0,44;0,27;0,17;0,09;0,17;0,64;0,03;0,01;0,08;0,03;0,17;0,31;0,44;0,37;0,43;1,18;0,69
265;27;1;1;102;3;1;49;90;0,38;0,66;0,16;0,06;0,32;0,77;0,64;0,13;0,89;1,48;0,12;0,07;0,05;0,13;0,13;0,32;0,2;0,41;0,28;0,36;0,96;0,5
266;27;1;1;110;1;0;45;90;0,46;0,67;0,43;0,2;0,26;0,82;0,46;0,36;0,29;0,43;0,55;0,05;0,04;0,12;0,12;0,37;0,18;0,31;0,2;0,28;1,12;0,57
267;27;1;1;62;3;1;44;90;0,44;0,71;0,47;0,21;0,23;0,7;0,37;0,33;0,63;0,89;0,34;0,1;0,07;0,15;0,24;0,53;0,18;0,28;0,13;0,22;0,63;0,63
268;27;1;1;117;1;1;45;90;0,24;0,8;0,22;0,05;0,19;0,43;0,34;0,09;0,89;1,48;0,09;0,11;0,05;0,14;0,1;0,28;0,27;0,48;0,36;0,43;0,82;0,55
269;27;1;1;91;3;1;40;90;0,28;0,74;0,11;0,03;0,25;0,72;0,65;0,08;0,88;1,48;0,08;0,08;0,06;0,14;0,14;0,32;0,17;0,44;0,3;0,38;1,61;0,39
270;27;1;1;119;1;1;32;90;0,46;0,59;0,18;0,08;0,38;0,52;0,43;0,09;0,51;0,93;0,16;0,08;0,04;0,17;0,09;0,38;0,37;0,45;0,28;0,41;0,55;0,87
271;27;1;1;133;4;1;49;90;0,49;0,74;0,63;0,31;0,18;0,61;0,23;0,38;0,32;0,46;0,55;0,06;0,04;0,11;0,12;0,35;0,24;0,3;0,19;0,26;0,53;0,81
272;27;1;1;116;3;1;42;90;0,51;0,51;0,09;0,04;0,47;1,29;1,2;0,1;0,46;0,82;0,17;0,07;0,09;0,2;0,19;0,45;0,18;0,45;0,25;0,36;1,99;0,39
273;27;1;1;90;3;1;49;90;0,21;0,84;0,29;0,06;0,15;0,36;0,25;0,1;0,29;0,44;0,26;0,09;0,03;0,1;0,09;0,29;0,2;0,34;0,25;0,31;1,31;0,59
274;27;1;0;92;3;0;35;90;0,32;0,68;0,09;0,02;0,32;0,46;0,46;0,05;0,43;0,72;0,07;0,04;0,02;0,26;0,04;0,64;0,28;0,41;0,15;0,39;1,02;0,69
275;27;1;1;92;3;1;51;90;0,29;0,77;0,28;0,08;0,21;1,02;0,73;0,28;0,2;0,3;0,58;0,05;0,05;0,19;0,15;0,58;0,09;0,33;0,14;0,28;2,15;0,36
276;27;1;1;144;1;1;32;90;0,52;0,52;0,16;0,08;0,44;1,23;1,03;0,2;0,7;1,4;0,22;0,09;0,11;0,21;0,23;0,43;0,21;0,48;0,29;0,39;1,47;0,42
277;27;1;1;159;1;1;49;90;0,5;0,54;0,12;0,06;0,44;0,95;0,84;0,12;0,74;1,26;0,14;0,06;0,06;0,13;0,14;0,32;0,22;0,42;0,29;0,36;1,07;0,52
278;27;1;1;131;1;1;58;90;0,49;0,58;0,26;0,13;0,36;0,94;0,69;0,25;0,6;0,98;0,29;0,08;0,08;0,17;0,2;0,45;0,2;0,38;0,21;0,31;1,05;0,53
279;27;1;1;0;4;0;49;90;0,49;0,56;0,19;0,09;0,4;0,42;0,34;0,08;0,26;0,34;0,23;0,08;0,03;0,08;0,14;0,36;0,27;0,23;0,14;0,19;0,52;1,1
280;27;1;0;106;3;1;43;90;0,35;0,75;0,37;0,13;0,22;0,73;0,46;0,27;0,25;0,49;0,51;0,06;0,04;0,11;0,09;0,22;0,23;0,48;0,38;0,43;1,56;0,48
281;27;1;1;122;3;1;43;90;0,47;0,63;0,36;0,17;0,31;0,79;0,51;0,28;0,34;0,55;0,45;0,05;0,04;0,1;0,11;0,27;0,23;0,38;0,27;0,34;1,04;0,6
282;27;1;1;60;3;1;45;90;0,37;0,63;0,09;0,02;0,36;0,85;0,82;0,05;0,39;0,76;0,07;0,05;0,05;0,08;0,09;0,16;0,22;0,48;0,38;0,43;1,85;0,44
283;27;1;1;88;3;1;52;90;0,22;0,85;0,38;0,08;0,14;0,37;0,23;0,14;0,32;0,58;0,31;0,03;0,01;0,05;0,03;0,1;0,27;0,45;0,38;0,43;1,22;0,6
284;27;1;0;100;3;1;48;90;0,39;0,65;0,16;0,06;0,33;0,64;0,54;0,1;0,53;0,9;0,16;0,04;0,02;0,09;0,06;0,23;0,25;0,41;0,32;0,39;1;0,62
285;27;1;1;181;3;1;37;90;0,45;0,65;0,35;0,16;0,29;0,8;0,52;0,28;0,49;0,73;0,36;0,09;0,07;0,16;0,21;0,5;0,19;0,33;0,17;0,26;1,01;0,56
286;27;1;1;84;3;1;49;90;0,16;0,94;0,63;0,1;0,06;0,41;0,15;0,26;0,63;0,68;0,29;0,07;0,03;0,04;0,37;0,53;0,08;0,16;0,03;0,06;1,74;0,38
287;27;1;1;138;3;1;45;90;0,25;0,8;0,26;0,07;0,19;0,53;0,39;0,14;0,67;1,01;0,17;0,03;0,02;0,07;0,05;0,2;0,16;0,34;0,27;0,32;1,31;0,47
288;27;1;0;123;4;1;48;90;0,6;0,43;0,13;0,08;0,53;0,91;0,79;0,11;0,61;0,94;0,16;0,06;0,06;0,13;0,16;0,37;0,23;0,35;0,22;0,3;0,78;0,67
289;27;1;0;76;3;0;47;90;0,29;0,73;0,11;0,03;0,26;0,48;0,43;0,05;0,54;0,84;0,09;0,05;0,03;0,08;0,07;0,22;0,21;0,35;0,27;0,32;1,06;0,6
290;27;1;1;79;3;1;40;90;0,36;0,79;0,52;0,19;0,17;0,73;0,35;0,38;0,11;0,16;0,78;0,05;0,04;0,1;0,11;0,3;0,16;0,33;0,23;0,3;1,55;0,49
291;27;1;1;102;1;1;35;90;0,67;0,38;0,2;0,13;0,54;1,71;1,24;0,36;0,07;0,12;0,84;0,07;0,12;0,2;0,27;0,46;0,16;0,44;0,24;0,32;2,15;0,37
292;27;2;1;90;3;0;41;90;0,6;0,57;0,5;0,3;0,3;0,7;0,35;0,35;0,13;0,19;0,72;0,11;0,08;0,22;0,27;0,7;0,27;0,31;0,09;0,23;0,68;0,86
293;27;2;1;89;1;1;43;90;0,46;0,76;0,64;0,3;0,17;1,43;0,52;0,88;-0,34;-0,44;1,99;0,11;0,15;0,26;0,53;0,82;0,1;0,31;0,06;0,15;2,15;0,36
294;27;2;1;31;1;0;30;90;0,74;0,32;0,27;0,2;0,54;1,16;0,85;0,31;0,37;0,57;0,45;0,04;0,04;0,2;0,12;0,59;0,22;0,34;0,14;0,3;0,87;0,64
295;27;2;1;77;3;1;40;90;0,82;0,34;0,58;0,48;0,34;1,71;0,73;0,88;-0,34;-0,44;1,99;0,04;0,07;0,26;0,65;1,54;0,08;0,16;-0,09;0,06;1,66;0,47
296;27;2;1;76;1;1;39;90;0,89;0,14;0,23;0,2;0,65;1,35;1,04;0,3;0,17;0,25;0,64;0,08;0,1;0,33;0,32;1,08;0,21;0,32;-0,02;0,21;1,04;0,66
297;27;2;1;24;4;1;37;90;0,65;0,37;0,09;0,06;0,59;1,12;1,02;0,1;0,18;0,33;0,34;0,08;0,09;0,14;0,2;0,31;0,26;0,45;0,31;0,36;1,44;0,58
298;27;2;1;53;3;0;27;90;0,68;0,41;0,33;0,22;0,46;0,97;0,65;0,32;0,27;0,4;0,54;0,09;0,09;0,21;0,27;0,64;0,22;0,32;0,11;0,23;0,84;0,7
299;27;2;1;77;3;1;31;90;0,87;0,17;0,26;0,22;0,64;1,33;0,99;0,34;-0,01;-0,02;1,05;0,08;0,11;0,33;0,4;1,17;0,18;0,28;-0,05;0,17;1,21;0,65
300;27;2;1;118;3;1;47;90;0,64;0,52;0,46;0,29;0,34;1,62;0,88;0,75;0,19;0,35;0,8;0,08;0,13;0,24;0,28;0,54;0,18;0,45;0,21;0,33;1,62;0,39
301;27;2;1;73;3;1;43;90;0,43;0,59;0,09;0,03;0,4;0,94;0,87;0,06;0,42;0,78;0,13;0,05;0,05;0,14;0,11;0,3;0,22;0,47;0,33;0,42;1,69;0,46
302;27;2;1;111;3;1;40;90;0,52;0,55;0,26;0,13;0,39;0,93;0,69;0,24;0,23;0,33;0,51;0,09;0,09;0,19;0,27;0,6;0,18;0,32;0,13;0,23;1,31;0,56
303;27;2;1;120;1;1;59;90;0,46;0,63;0,32;0,15;0,31;1,23;0,83;0,4;0,14;0,23;0,74;0,11;0,14;0,29;0,36;0,75;0,15;0,39;0,1;0,25;2,11;0,38
304;27;2;1;57;3;0;44;90;0,41;0,72;0,45;0,18;0,23;0,57;0,32;0,26;0,45;0,68;0,36;0,05;0,03;0,15;0,08;0,44;0,24;0,33;0,19;0,31;0,7;0,71
305;27;2;1;80;2;1;31;90;0,52;0,55;0,25;0,13;0,39;1,66;1,24;0,42;0,69;0,75;0,38;0,04;0,07;0,25;0,65;1,54;0,08;0,16;-0,09;0,06;2,06;0,36
306;27;2;1;50;3;0;37;90;1,08;0;0,48;0,67;0,65;0,88;0,45;0,43;-0,34;-0,44;1,99;0,07;0,06;0,18;0,28;0,82;0,37;0,22;0,04;0,15;0,35;1,1
307;27;2;1;68;3;1;45;90;0,53;0,5;0,13;0,07;0,46;1,06;0,92;0,14;0,25;0,35;0,36;0,06;0,06;0,19;0,22;0,65;0,14;0,29;0,1;0,23;1,61;0,5
308;27;2;1;54;3;1;62;90;0,47;0,59;0,21;0,1;0,37;0,95;0,76;0,2;0,47;0,67;0,3;0,1;0,09;0,28;0,31;0,92;0,15;0,3;0,02;0,21;1,38;0,49
309;27;2;1;123;3;1;52;90;0,44;0,68;0,4;0,18;0,27;0,74;0,45;0,29;0,54;0,69;0,35;0,1;0,07;0,13;0,34;0,64;0,13;0,21;0,08;0,14;0,85;0,59
310;27;2;1;94;1;0;33;90;1,08;0;0,73;0,67;0,57;1,02;0,28;0,74;-0,34;-0,43;1,99;0,08;0,09;0,2;0,65;1,54;0,24;0,16;-0,09;0,06;0,35;1,1
311;27;2;1;73;3;1;61;90;0,7;0,48;0,52;0,37;0,33;1,53;0,73;0,8;-0,06;-0,08;1,07;0,07;0,11;0,18;0,33;0,56;0,15;0,33;0,15;0,22;1,45;0,46
312;27;2;1;17;4;1;53;90;1,08;0;0,48;0,53;0,57;1,07;0,56;0,51;-0,14;-0,16;1,39;0,05;0,05;0,13;0,65;1,54;0,08;0,16;-0,07;0,06;0,6;1,03
313;27;2;1;50;4;0;34;90;1;0;0,24;0,24;0,65;1,71;1,24;0,61;0,21;0,34;0,74;0,03;0,08;0,2;0,22;0,54;0,15;0,37;0,17;0,29;1,7;0,4
314;27;2;1;106;4;1;40;90;0,8;0,31;0,42;0,34;0,46;1,16;0,67;0,49;-0,26;-0,33;1,99;0,1;0,12;0,27;0,53;1,17;0,16;0,23;-0,04;0,11;1,23;0,68
315;27;2;0;68;2;0;43;90;0,57;0,56;0,42;0,24;0,34;0,96;0,56;0,4;-0,22;-0,31;1,99;0,06;0,06;0,15;0,2;0,51;0,17;0,29;0,14;0,23;1,5;0,6
316;27;2;0;98;3;0;42;90;0,25;0,93;0,77;0,19;0,06;0,31;0,07;0,24;0,09;0,13;0,73;0,1;0,03;0,06;0,09;0,19;0,27;0,33;0,27;0,3;0,9;0,81
317;27;2;0;112;1;0;42;90;1,02;0;0,79;0,67;0,12;0,59;0,07;0,52;-0,1;-0,13;1,24;0,07;0,04;0,05;0,18;0,22;0,37;0,21;0,17;0,17;0,35;1,1
318;27;2;0;95;3;1;44;90;0,75;0,31;0,27;0,2;0,55;1,5;1,1;0,4;0,4;0,51;0,5;0,11;0,15;0,33;0,65;1,54;0,1;0,21;-0,09;0,06;1,2;0,5
319;27;2;0;125;3;0;38;90;0,9;0,3;0,74;0,67;0,23;1,19;0,31;0,88;-0,34;-0,44;1,87;0,07;0,08;0,19;0,28;0,69;0,21;0,28;0,09;0,2;0,86;0,75
320;27;2;0;199;1;1;47;90;0,76;0,36;0,42;0,32;0,44;0,88;0,51;0,37;0,12;0,16;0,75;0,07;0,06;0,16;0,25;0,62;0,22;0,25;0,09;0,19;0,68;0,86
321;27;2;0;67;3;0;50;90;0,4;0,68;0,29;0,12;0,28;0,53;0,37;0,15;0,14;0,21;0,52;0,07;0,04;0,14;0,12;0,43;0,25;0,33;0,19;0,29;1,03;0,76
322;27;2;1;102;3;1;30;90;0,95;0,12;0,59;0,56;0,39;1,71;1,24;0,88;0,48;0,48;0,79;0,04;0,13;0,26;0,65;1,54;0,08;0,16;-0,09;0,06;0,93;0,36
323;27;2;1;70;4;1;43;90;0,73;0,44;0,53;0,39;0,34;0,89;0,41;0,47;-0,28;-0,38;1,99;0,11;0,11;0,16;0,42;0,61;0,22;0,27;0,1;0,16;1,01;0,83
324;27;2;1;86;1;1;37;90;1,03;0;0,29;0,3;0,65;1,71;1,24;0,63;0,25;0,39;0,72;0,07;0,14;0,27;0,39;0,74;0,17;0,36;0,09;0,22;1,23;0,48
325;27;2;1;82;1;1;36;90;0,72;0,35;0,25;0,18;0,54;1,31;0,98;0,33;0,22;0,35;0,6;0,08;0,11;0,29;0,29;0,78;0,21;0,38;0,09;0,27;1,28;0,55
326;27;2;1;93;1;1;36;90;0,92;0,1;0,2;0,18;0,65;1,23;0,99;0,24;0,11;0,16;0,69;0,11;0,13;0,31;0,44;1,02;0,22;0,3;-0,01;0,17;0,99;0,75
327;27;2;1;109;3;0;40;90;0,9;0,2;0,54;0,48;0,42;1,23;0,57;0,66;-0,34;-0,44;1,99;0,09;0,11;0,21;0,49;0,93;0,16;0,22;0,01;0,11;1,05;0,73
328;27;2;1;53;3;1;38;90;0,97;0,04;0,28;0,27;0,65;1,18;0,85;0,33;-0,02;-0,03;1,07;0,09;0,11;0,31;0,45;1,25;0,2;0,25;-0,06;0,13;0,91;0,83
329;27;2;1;99;1;0;45;90;1,08;0;0,55;0,67;0,63;1,6;0,72;0,88;-0,34;-0,42;1,82;0,09;0,14;0,33;0,65;1,54;0,08;0,16;-0,09;0,06;0,65;0,88
330;27;2;1;72;3;1;31;90;0,96;0,09;0,54;0,52;0,44;1,71;0,84;0,88;-0,02;-0,03;1,02;0,11;0,15;0,33;0,65;1,04;0,18;0,34;-0,01;0,12;0,94;0,52
331;27;2;1;70;3;1;56;90;0,38;0,69;0,27;0,1;0,28;0,7;0,51;0,19;0,21;0,32;0,48;0,1;0,07;0,2;0,2;0,56;0,19;0,35;0,15;0,28;1,43;0,55
332;27;2;1;115;3;0;53;90;0,59;0,75;0,77;0,46;0,14;0,9;0,2;0,69;-0,19;-0,24;1,37;0,07;0,07;0,1;0,29;0,45;0,15;0,23;0,12;0,16;1,01;0,66
333;27;2;1;72;3;1;36;90;0,73;0,34;0,27;0,2;0,53;1,71;1,24;0,54;-0,05;-0,07;1,1;0,06;0,11;0,23;0,5;1,03;0,08;0,23;-0,01;0,11;2,15;0,36
334;27;2;1;86;1;1;32;90;0,43;0,63;0,21;0,09;0,34;0,9;0,71;0,19;0,58;1,01;0,25;0,08;0,07;0,18;0,17;0,42;0,2;0,43;0,25;0,36;1,34;0,47
335;27;2;1;53;3;1;35;90;0,51;0,53;0,14;0,07;0,44;1,3;1,12;0,19;0,28;0,36;0,4;0,05;0,06;0,2;0,3;0,96;0,08;0,21;0,01;0,15;2,08;0,39
336;27;2;1;61;1;1;37;90;0,57;0,51;0,3;0,17;0,4;1,52;1,07;0,45;0,36;0,44;0,56;0,09;0,14;0,33;0,65;1,54;0,08;0,18;-0,09;0,06;1,84;0,38
337;27;2;1;55;3;1;50;90;0,7;0,37;0,27;0,19;0,51;1,71;1,24;0,48;0,08;0,12;0,85;0,06;0,11;0,24;0,37;0,8;0,12;0,3;0,06;0,19;2;0,39
338;27;2;1;64;3;1;30;90;0,72;0,33;0,21;0,15;0,57;1,55;1,23;0,32;0,1;0,13;0,76;0,07;0,1;0,25;0,43;1,03;0,11;0,24;-0,01;0,14;1,74;0,46
339;27;2;1;60;3;1;42;90;0,31;0,76;0,28;0,09;0,22;0,56;0,4;0,16;0,26;0,38;0,38;0,1;0,05;0,16;0,17;0,51;0,18;0,32;0,16;0,26;1,4;0,55
340;27;2;1;87;3;1;34;90;0,55;0,48;0,11;0,06;0,49;1,21;1,07;0,14;0,58;0,77;0,19;0,08;0,1;0,22;0,39;0,91;0,11;0,25;0,02;0,15;1,48;0,46
341;27;2;1;130;3;1;38;90;0,93;0,12;0,39;0,36;0,56;1,71;1,05;0,67;-0,27;-0,32;1,67;0,07;0,12;0,24;0,65;1,5;0,09;0,16;-0,08;0,06;1,46;0,54
342;27;2;1;66;3;0;44;90;0,9;0,17;0,44;0,4;0,5;1,03;0,57;0,45;-0,09;-0,14;1,24;0,07;0,07;0,23;0,19;0,64;0,31;0,36;0,13;0,29;0,78;0,88
343;27;2;0;245;1;0;49;90;1,08;0;0,42;0,58;0,65;1,71;1,17;0,84;-0,27;-0,41;1,46;0,1;0,15;0,33;0,56;1,45;0,24;0,36;-0,09;0,16;0,88;0,69
344;27;2;1;112;1;1;46;90;0,64;0,4;0,17;0,11;0,54;1,2;1;0,2;0,24;0,45;0,45;0,11;0,14;0,24;0,31;0,52;0,24;0,45;0,22;0,31;1,43;0,53
345;27;2;1;64;3;0;54;90;0,4;0,8;0,63;0,25;0,15;0,72;0,27;0,45;0,4;0,76;0,53;0,08;0,06;0,14;0,12;0,29;0,27;0,47;0,33;0,41;0,92;0,57
346;27;2;1;69;3;1;50;90;0,85;0,19;0,24;0,2;0,65;1,35;1,03;0,32;0,14;0,19;0,7;0,09;0,13;0,23;0,46;0,81;0,18;0,28;0,05;0,15;1,14;0,63
347;27;2;1;108;3;1;48;90;0,68;0,44;0,4;0,27;0,41;1,32;0,79;0,53;-0,14;-0,23;1,36;0,11;0,15;0,31;0,49;0,81;0,2;0,38;0,07;0,19;1,55;0,52
348;27;2;1;101;3;0;36;90;0,38;0,83;0,67;0,25;0,12;0,5;0,16;0,33;-0,1;-0,11;1,43;0,07;0,03;0,16;0,29;1,33;0,09;0,16;-0,04;0,08;1,09;0,76
349;59;1;1;57,1;3;0;47;92;0,33;0,75;0,31;0,1;0,23;0,68;0,47;0,21;0,68;0,96;0,24;0,06;0,04;0,1;0,14;0,34;0,14;0,29;0,19;0,25;1,18;0,48
350;59;1;1;65;3;0;49;92;0,18;0,89;0,44;0,08;0,1;0,52;0,29;0,23;1,3;2,02;0,15;0,04;0,02;0,06;0,06;0,18;0,12;0,36;0,29;0,33;1,4;0,34
351;59;1;1;128;2;1;47;92;0,23;0,83;0,32;0,07;0,15;0,6;0,4;0,19;0,4;0,48;0,32;0,06;0,04;0,13;0,21;0,74;0,07;0,17;0,05;0,14;2,03;0,38
352;59;1;1;49,8;1;0;46;92;0,4;0,73;0,45;0,18;0,22;1,05;0,58;0,47;0,54;0,91;0,46;0,06;0,07;0,26;0,16;0,63;0,15;0,4;0,15;0,34;1,64;0,38
353;59;1;1;76,5;3;1;54;92;0,46;0,67;0,43;0,2;0,27;1,31;0,75;0,56;0,71;0,9;0,44;0,07;0,09;0,34;0,45;1,61;0,07;0,21;-0,13;0,11;1,55;0,35
354;59;1;0;67,8;1;0;44;92;0,31;0,48;-1,35;-0,42;0,73;0,61;1,44;-0,82;2,16;3,97;-0,62;0,05;0,03;0,1;0,06;0,23;0,23;0,46;0,35;0,43;0,62;0,51
355;59;1;1;42;3;0;59;92;0,22;0,88;0,5;0,11;0,11;0,27;0,13;0,13;0,29;0,46;0,32;0,03;0,01;0,02;0,02;0,06;0,3;0,37;0,35;0,36;0,82;0,8
356;59;1;0;78;1;0;37;92;0,74;0,38;0,44;0,32;0,42;0,98;0,55;0,43;0,35;0,63;0,55;0,05;0,05;0,17;0,11;0,38;0,34;0,45;0,28;0,4;0,55;0,76
357;59;1;1;83;2;0;50;92;0,57;0,73;0,72;0,41;0,16;1,19;0,33;0,86;-0,1;-0,16;1,14;0,03;0,04;0,27;0,11;0,73;0,18;0,37;0,1;0,33;1,32;0,48
358;59;1;1;27,7;1;0;46;92;0,65;0,42;0,26;0,17;0,49;0,77;0,57;0,2;0,36;0,52;0,36;0,08;0,06;0,16;0,2;0,54;0,26;0,3;0,14;0,24;0,62;0,85
359;59;1;1;156,1;2;0;36;92;0,89;0,18;0,4;0,35;0,53;2,5;1,51;0,99;-0,07;-0,1;1,08;0,05;0,12;0,29;0,44;1,08;0,1;0,27;-0,02;0,15;1,9;0,35
360;59;1;1;87,1;2;0;57;92;0,55;0,74;0,71;0,39;0,16;0,78;0,22;0,56;0,21;0,27;0,73;0,05;0,04;0,13;0,17;0,57;0,17;0,24;0,1;0,19;0,66;0,71
361;59;1;1;101,8;2;0;53;92;0,45;0,67;0,41;0,18;0,27;0,67;0,4;0,27;0,23;0,31;0,54;0,04;0,03;0,09;0,11;0,35;0,17;0,25;0,16;0,23;0,99;0,67
362;59;1;1;77,7;2;1;50;92;0,45;0,66;0,37;0,16;0,28;0,88;0,56;0,32;0,35;0,48;0,48;0,04;0,04;0,22;0,13;0,82;0,14;0,27;0,05;0,24;1,31;0,51
363;59;1;1;81,6;2;0;59;92;0,18;0,89;0,42;0,07;0,1;0,34;0,19;0,14;0,73;1,02;0,16;0,04;0,01;0,14;0,05;0,49;0,15;0,29;0,15;0,28;1,04;0,52
364;59;1;1;151,7;2;0;49;92;0,44;0,73;0,53;0,23;0,21;0,75;0,35;0,4;0,48;0,67;0,45;0,02;0,02;0,11;0,06;0,37;0,17;0,29;0,18;0,27;0,83;0,59
365;59;1;0;69;1;0;37;92;0,74;0,29;0,13;0,09;0,64;0,89;0,78;0,11;0,77;1,34;0,13;0,02;0,02;0,08;0,05;0,2;0,35;0,43;0,34;0,4;0,33;0,83
366;59;1;1;43,4;1;1;54;92;0,44;0,61;0,16;0,07;0,37;1,2;1,01;0,19;1,38;1,69;0,12;0,06;0,07;0,2;0,39;1,06;0,07;0,18;-0,01;0,11;1,2;0,36
367;59;1;0;112;1;0;35;92;0,41;0,73;0,48;0,2;0,22;0,63;0,33;0,3;0,68;1,3;0,31;0,03;0,02;0,04;0,04;0,08;0,32;0,48;0,44;0,46;0,54;0,66
368;59;1;1;70,9;1;0;50;92;0,41;0,68;0,34;0,14;0,27;1,12;0,75;0,38;1,12;1,8;0,25;0,06;0,07;0,18;0,19;0,47;0,14;0,38;0,2;0,3;1,22;0,37
369;59;1;0;160,6;2;0;24;92;0,62;0,45;0,26;0,16;0,46;0,76;0,56;0,19;0,5;0,81;0,28;0,04;0,03;0,09;0,09;0,23;0,31;0,38;0,29;0,35;0,53;0,82
370;59;1;1;107,7;2;1;59;92;0,43;0,71;0,45;0,19;0,24;0,72;0,4;0,32;0,3;0,36;0,52;0,03;0,02;0,06;0,15;0,41;0,09;0,15;0,09;0,13;1,06;0,6
371;59;1;1;118,6;1;1;58;92;0,15;0,95;0,71;0,1;0,04;0,23;0,07;0,16;0,69;1,1;0,19;0,03;0,01;0,03;0,02;0,08;0,23;0,37;0,34;0,37;0,73;0,63
372;59;1;1;83,3;3;0;39;92;0,67;0,51;0,52;0,35;0,32;2,26;1,08;1,18;0,12;0,17;0,91;0,02;0,05;0,19;0,18;0,69;0,08;0,28;0,09;0,23;2,09;0,3
373;59;1;0;128,2;2;0;33;92;0,61;0,58;0,53;0,32;0,28;0,59;0,28;0,31;0,09;0,12;0,77;0,02;0,01;0,08;0,05;0,35;0,24;0,23;0,15;0,22;0,56;1,03
374;59;1;1;51;1;0;39;92;0,47;0,58;0,2;0,09;0,38;1,1;0,88;0,22;0,6;0,86;0,27;0,04;0,05;0,17;0,16;0,58;0,13;0,3;0,13;0,25;1,51;0,43
375;59;1;1;65;1;0;59;92;0,41;0,74;0,49;0,2;0,21;0,63;0,32;0,31;0,76;1,05;0,29;0,03;0,02;0,09;0,08;0,31;0,18;0,28;0,19;0,26;0,47;0,65
376;59;1;1;152,5;1;0;45;92;0,71;0,4;0,39;0,28;0,43;1,38;0,84;0,54;0,39;0,58;0,58;0,06;0,08;0,27;0,26;0,86;0,16;0,32;0,04;0,24;1,01;0,51
377;59;1;1;52,7;1;0;28;92;0,73;0,42;0,49;0,35;0,37;1,28;0,65;0,62;0,21;0,29;0,75;0,05;0,06;0,24;0,21;0,82;0,17;0,3;0,06;0,24;0,93;0,57
378;59;1;1;38,1;1;1;54;92;0,43;0,69;0,39;0,17;0,26;1,39;0,84;0,55;0,74;0,96;0,43;0,05;0,07;0,17;0,32;0,75;0,07;0,23;0,06;0,16;1,94;0,31
379;59;1;0;119,8;1;0;27;92;0,59;0,47;0,22;0,13;0,46;1,01;0,79;0,22;0,71;1,1;0,24;0,05;0,05;0,18;0,15;0,52;0,2;0,35;0,17;0,3;0,78;0,58
380;59;1;0;151,5;1;0;31;92;0,5;0,7;0,57;0,28;0,21;0,65;0,28;0,37;0,48;0,84;0,44;0,04;0,03;0,08;0,06;0,18;0,33;0,43;0,36;0,41;0,47;0,76
381;59;1;1;52,7;1;0;39;92;0,38;0,68;0,23;0,08;0,29;0,85;0,66;0,19;0,72;1,07;0,21;0,05;0,04;0,15;0,12;0,46;0,15;0,33;0,18;0,29;1,36;0,44
382;59;1;1;85,2;1;0;42;92;0,38;0,73;0,37;0,14;0,24;0,75;0,47;0,28;0,65;0,99;0,3;0,05;0,03;0,2;0,1;0,59;0,17;0,35;0,14;0,31;1,06;0,5
383;59;1;0;69;1;0;34;92;0,46;0,64;0,34;0,15;0,3;0,77;0,51;0,26;0,63;0,99;0,29;0,05;0,03;0,15;0,1;0,4;0,22;0,36;0,22;0,33;0,79;0,6
384;59;1;1;61,6;1;0;49;92;0,37;0,67;0,14;0,05;0,32;0,74;0,63;0,1;0,63;1,11;0,14;0,04;0,03;0,12;0,07;0,28;0,22;0,43;0,31;0,4;1,27;0,5
385;59;1;0;67,2;1;0;33;92;0,58;0,49;0,25;0,15;0,44;0,72;0,54;0,18;0,48;0,83;0,28;0,04;0,03;0,12;0,06;0,28;0,34;0,43;0,31;0,4;0,58;0,81
386;59;1;1;47,8;3;0;55;92;0,56;0,58;0,43;0,24;0,32;0,55;0,31;0,23;0,09;0,12;0,72;0,04;0,02;0,06;0,1;0,26;0,24;0,23;0,17;0,21;0,65;1,03
387;59;1;1;125,9;2;1;50;92;0,81;0,28;0,38;0,31;0,5;1,58;0,98;0,6;0,02;0,03;0,97;0,04;0,07;0,19;0,19;0,52;0,19;0,37;0,18;0,3;1,33;0,51
388;59;1;1;42,6;2;1;60;92;0,66;0,46;0,37;0,24;0,41;1,44;0,91;0,53;-0,02;-0,02;1,03;0,08;0,12;0,34;0,36;1,01;0,15;0,34;0;0,22;1,68;0,46
